[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-11-17 12:31:01.743289 I | etcdmain: etcd Version: 3.4.13
2021-11-17 13:03:50.758132 W | etcdserver: read-only range request "key:\"/registry/runtimeclasses/\" range_end:\"/registry/runtimeclasses0\" count_only:true " with result "range_response_count:0 size:6" took too long (409.9588ms) to execute
2021-11-17 13:03:50.758817 W | etcdserver: read-only range request "key:\"/registry/ingress/\" range_end:\"/registry/ingress0\" count_only:true " with result "range_response_count:0 size:6" took too long (815.7882ms) to execute
2021-11-17 13:03:50.764434 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes/\" range_end:\"/registry/persistentvolumes0\" count_only:true " with result "range_response_count:0 size:6" took too long (328.2257ms) to execute
2021-11-17 13:03:50.765524 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations/\" range_end:\"/registry/mutatingwebhookconfigurations0\" count_only:true " with result "range_response_count:0 size:6" took too long (329.4304ms) to execute
2021-11-17 13:03:50.777644 W | etcdserver: read-only range request "key:\"/registry/leases/\" range_end:\"/registry/leases0\" count_only:true " with result "range_response_count:0 size:8" took too long (300.4772ms) to execute
2021-11-17 13:03:50.779327 W | etcdserver: read-only range request "key:\"/registry/events/\" range_end:\"/registry/events0\" count_only:true " with result "range_response_count:0 size:8" took too long (256.9729ms) to execute
2021-11-17 13:03:50.788170 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/\" range_end:\"/registry/horizontalpodautoscalers0\" count_only:true " with result "range_response_count:0 size:6" took too long (323.7427ms) to execute
2021-11-17 13:03:50.933940 I | mvcc: store.index: compact 20572
2021-11-17 13:03:51.146238 I | mvcc: finished scheduled compaction at 20572 (took 211.7419ms)
2021-11-17 13:03:55.022801 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:04:05.165080 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:04:15.027361 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:04:21.339477 W | etcdserver: read-only range request "key:\"/registry/secrets/\" range_end:\"/registry/secrets0\" " with result "range_response_count:40 size:109036" took too long (102.9483ms) to execute
2021-11-17 13:04:21.359767 W | etcdserver: read-only range request "key:\"/registry/statefulsets/\" range_end:\"/registry/statefulsets0\" " with result "range_response_count:0 size:6" took too long (100.0839ms) to execute
2021-11-17 13:04:21.360561 W | etcdserver: read-only range request "key:\"/registry/runtimeclasses/\" range_end:\"/registry/runtimeclasses0\" " with result "range_response_count:0 size:6" took too long (104.6138ms) to execute
2021-11-17 13:04:21.361661 W | etcdserver: read-only range request "key:\"/registry/configmaps/\" range_end:\"/registry/configmaps0\" " with result "range_response_count:10 size:15268" took too long (107.906ms) to execute
2021-11-17 13:04:21.366186 W | etcdserver: read-only range request "key:\"/registry/roles/\" range_end:\"/registry/roles0\" " with result "range_response_count:11 size:5978" took too long (116.5606ms) to execute
2021-11-17 13:04:21.367494 W | etcdserver: read-only range request "key:\"/registry/pods/\" range_end:\"/registry/pods0\" " with result "range_response_count:9 size:44191" took too long (117.9472ms) to execute
2021-11-17 13:04:21.374855 W | etcdserver: read-only range request "key:\"/registry/secrets/\" range_end:\"/registry/secrets0\" " with result "range_response_count:40 size:109036" took too long (125.5514ms) to execute
2021-11-17 13:04:21.375934 W | etcdserver: read-only range request "key:\"/registry/rolebindings/\" range_end:\"/registry/rolebindings0\" " with result "range_response_count:11 size:7880" took too long (127.1397ms) to execute
2021-11-17 13:04:21.376734 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes/\" range_end:\"/registry/persistentvolumes0\" " with result "range_response_count:0 size:6" took too long (128.0021ms) to execute
2021-11-17 13:04:21.377476 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests/\" range_end:\"/registry/certificatesigningrequests0\" " with result "range_response_count:0 size:6" took too long (129.1374ms) to execute
2021-11-17 13:04:21.378142 W | etcdserver: read-only range request "key:\"/registry/csidrivers/\" range_end:\"/registry/csidrivers0\" " with result "range_response_count:0 size:6" took too long (129.9454ms) to execute
2021-11-17 13:04:21.378855 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/\" range_end:\"/registry/poddisruptionbudgets0\" " with result "range_response_count:0 size:6" took too long (133.2587ms) to execute
2021-11-17 13:04:21.379541 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:2 size:1852" took too long (134.025ms) to execute
2021-11-17 13:04:21.391066 W | etcdserver: read-only range request "key:\"/registry/events/\" range_end:\"/registry/events0\" " with result "range_response_count:67 size:52327" took too long (148.4586ms) to execute
2021-11-17 13:04:21.396383 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/\" range_end:\"/registry/resourcequotas0\" " with result "range_response_count:0 size:6" took too long (156.7847ms) to execute
2021-11-17 13:04:21.403561 W | etcdserver: read-only range request "key:\"/registry/clusterroles/\" range_end:\"/registry/clusterroles0\" " with result "range_response_count:65 size:57679" took too long (163.3587ms) to execute
2021-11-17 13:04:27.519365 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:04:37.527516 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:04:47.546762 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:04:57.514121 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:05:07.511231 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:05:11.305448 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (610.6155ms) to execute
2021-11-17 13:05:11.306067 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/docker.io-hostpath\" " with result "range_response_count:1 size:602" took too long (842.7847ms) to execute
2021-11-17 13:05:17.510340 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:05:24.509148 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:488" took too long (381.6335ms) to execute
2021-11-17 13:05:24.509807 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/docker.io-hostpath\" " with result "range_response_count:1 size:602" took too long (306.5401ms) to execute
2021-11-17 13:05:28.401222 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:05:29.287052 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:488" took too long (166.641ms) to execute
2021-11-17 13:05:37.476452 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:05:47.476176 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:05:57.423504 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:06:02.106223 W | etcdserver: request "header:<ID:8247917403578680884 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/192.168.65.4\" mod_revision:20987 > success:<request_put:<key:\"/registry/masterleases/192.168.65.4\" value_size:67 lease:8247917403578680882 >> failure:<request_range:<key:\"/registry/masterleases/192.168.65.4\" > >>" with result "size:18" took too long (204.613ms) to execute
2021-11-17 13:06:02.311770 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:421" took too long (158.5351ms) to execute
2021-11-17 13:06:02.313322 W | etcdserver: read-only range request "key:\"/registry/storageclasses/\" range_end:\"/registry/storageclasses0\" count_only:true " with result "range_response_count:0 size:8" took too long (166.821ms) to execute
2021-11-17 13:06:07.418602 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:06:17.424106 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:06:27.384603 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:06:37.380052 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:06:47.379457 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:06:57.364264 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:07:07.352853 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:07:17.350034 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:07:27.319628 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:07:37.314050 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:07:47.327134 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:07:57.279932 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:08:07.282351 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:08:17.281432 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:08:27.248590 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:08:37.247616 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:08:47.260248 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:08:53.169519 I | mvcc: store.index: compact 20825
2021-11-17 13:08:53.174509 I | mvcc: finished scheduled compaction at 20825 (took 4.2485ms)
2021-11-17 13:08:57.213294 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2021-11-17 13:09:07.213553 I | etcdserver/api/etcdhttp: /health OK (status code 200)
